2020-09-03 10:52:04

Population = 0:
Empty DataFrame
Columns: [Scrape_Date, Facility_Identifier, Population, Change]
Index: []


Drastic Change:
Scrape_Date      Facility_Identifier  Population      Change
 2020-03-19               GA_Decatur         107   -0.115702
 2020-03-19                 KY_Boyle         199   -0.115556
 2020-03-19                KY_Nelson         110   -0.105691
 2020-03-19               OR_Yamhill         101   -0.198413
 2020-03-19                 WA_Clark         505   -0.103020
 2020-03-19             WI_La_Crosse         127   -0.130137
 2020-03-18            FL_Santa_Rosa         650    0.140351
 2020-03-18               ID_Bingham         101   -0.121739
 2020-03-18                KY_Nelson         123   -0.121429
 2020-03-18               LA_Lincoln         236   -0.132353
 2020-03-18                LA_Sabine         173   -0.112821
 2020-03-18                MN_Dakota         188   -0.125581
 2020-03-18              ND_Burleigh         261   -0.103093
 2020-03-18             OR_Deschutes         235   -0.109848
 2020-03-18               OR_Douglas         164   -0.145833
 2020-03-18               OR_Yamhill         126   -0.112676
 2020-03-17                AL_Coffee         102   -0.196850
 2020-03-17            FL_Santa_Rosa         570   -0.110764
 2020-03-17                GA_Monroe         110   -0.179104
 2020-03-17            IN_Washington         142   -0.154762
 2020-03-17               KY_Bourbon         216   -0.142857
 2020-03-17               LA_Lincoln         272    0.138075
 2020-03-17              MN_Beltrami         104   -0.174603
 2020-03-17                MO_Jasper         206    0.101604
 2020-03-17       NV_Clark_Henderson         357   -0.111940
 2020-03-17             OR_Clackamas         371   -0.116667
 2020-03-17          WA_Grays_Harbor         141   -0.175439
 2020-03-16            IN_Washington         168    0.217391
 2020-03-16               KY_Bourbon         252    0.125000
 2020-03-16              KY_Calloway         196    0.120000
 2020-03-16                KY_Nelson         140    0.186441
 2020-03-16                 MO_Henry         112    0.166667
 2020-03-15                 KY_Boyle         249   -0.135417
 2020-03-15                 KY_Scott         115   -0.128788
 2020-03-15               LA_Lincoln         239   -0.124542
 2020-03-15             OR_Deschutes         273   -0.101974
 2020-03-14                 OK_Creek         170   -0.273504
 2020-03-13               LA_Lincoln         271    0.133891
 2020-03-13                OH_Morrow         125    0.116071
 2020-03-13               SC_Laurens         252    0.150685
 2020-03-12               GA_Jackson         159    0.127660
 2020-03-12               MI_Midland         112    0.108911
 2020-03-09               LA_Jackson         131   -0.143791
 2020-03-08                 KS_Chase         133    0.127119
 2020-03-08              MN_Beltrami         118    0.102804
 2020-03-08                 MS_Lamar         117    0.125000
 2020-03-08                OH_Morrow         104   -0.154472
 2020-03-08    VA_Virginia_Peninsula         404    0.100817
 2020-03-07               IL_Kendall         164    0.100671
 2020-03-07                OH_Morrow         123    0.108108
 2020-03-07              OH_Pickaway         126    0.177570
 2020-03-07                 TN_Giles         167   -0.139175
 2020-03-07              TX_Rockwall         237    0.128571
 2020-03-06               MS_Hancock         193   -0.106481
 2020-03-05                KS_Sumner         130    0.140351
 2020-03-05               OK_McClain         108    0.102041
 2020-03-05              SC_Anderson         374   -0.109524
 2020-03-05                 TN_Giles         194    0.161677
 2020-03-05                TN_Sevier         390   -0.117647
 2020-03-04                AR_Baxter         103   -0.141667
 2020-03-04             AR_Jefferson         300   -0.164345
 2020-03-04               GA_Jackson         143   -0.122699
 2020-03-04                  KY_Boyd         317    0.152727
 2020-03-04               KY_Carroll         142   -0.154762
 2020-03-04               LA_St_Mary         221   -0.105263
 2020-03-04                OH_Morrow         114   -0.123077
 2020-03-03             MN_Crow_Wing         168    0.105263
