State,County,Facility_Name,Facility_Identifier,Scrape_Date,Race,Race_Population,Race_Change,Race_Proportion,Total_Population,Total_Change
AR,Columbia,Columbia Co. Jail,AR_Columbia,4/12/20,other,1,0,0.017857143,56,-0.282051282
AR,Columbia,Columbia Co. Jail,AR_Columbia,4/12/20,white,20,-0.285714286,0.357142857,56,-0.282051282
AR,Crawford,Crawford County Jail,AR_Crawford,3/16/20,black,19,,0.09223301,206,
AR,Crawford,Crawford County Jail,AR_Crawford,3/16/20,hispanic,9,,0.04368932,206,
AR,Crawford,Crawford County Jail,AR_Crawford,3/16/20,other,3,,0.014563107,206,
AR,Crawford,Crawford County Jail,AR_Crawford,3/16/20,white,175,,0.849514563,206,
AR,Crawford,Crawford County Jail,AR_Crawford,4/12/20,black,12,-0.368421053,0.088235294,136,-0.339805825
AR,Crawford,Crawford County Jail,AR_Crawford,4/12/20,hispanic,7,-0.222222222,0.051470588,136,-0.339805825
AR,Crawford,Crawford County Jail,AR_Crawford,4/12/20,other,4,0.333333333,0.029411765,136,-0.339805825
AR,Crawford,Crawford County Jail,AR_Crawford,4/12/20,white,113,-0.354285714,0.830882353,136,-0.339805825
AR,Cross,Cross County Jail and Detention Center,AR_Cross,3/16/20,black,26,,0.4,65,
AR,Cross,Cross County Jail and Detention Center,AR_Cross,3/16/20,hispanic,0,,0,65,
AR,Cross,Cross County Jail and Detention Center,AR_Cross,3/16/20,other,2,,0.030769231,65,
AR,Cross,Cross County Jail and Detention Center,AR_Cross,3/16/20,white,37,,0.569230769,65,
AR,Cross,Cross County Jail and Detention Center,AR_Cross,4/12/20,black,19,-0.269230769,0.431818182,44,-0.323076923
AR,Cross,Cross County Jail and Detention Center,AR_Cross,4/12/20,hispanic,0,,0,44,-0.323076923
AR,Cross,Cross County Jail and Detention Center,AR_Cross,4/12/20,other,1,-0.5,0.022727273,44,-0.323076923
AR,Cross,Cross County Jail and Detention Center,AR_Cross,4/12/20,white,24,-0.351351351,0.545454545,44,-0.323076923
AR,Drew,Drew Co. Det. Fac.,AR_Drew,3/16/20,black,27,,0.45,60,
AR,Drew,Drew Co. Det. Fac.,AR_Drew,3/16/20,hispanic,1,,0.016666667,60,
AR,Drew,Drew Co. Det. Fac.,AR_Drew,3/16/20,other,0,,0,60,
AR,Drew,Drew Co. Det. Fac.,AR_Drew,3/16/20,white,32,,0.533333333,60,
AR,Drew,Drew Co. Det. Fac.,AR_Drew,4/12/20,black,18,-0.333333333,0.45,40,-0.333333333
AR,Drew,Drew Co. Det. Fac.,AR_Drew,4/12/20,hispanic,1,0,0.025,40,-0.333333333
AR,Drew,Drew Co. Det. Fac.,AR_Drew,4/12/20,other,0,,0,40,-0.333333333
AR,Drew,Drew Co. Det. Fac.,AR_Drew,4/12/20,white,21,-0.34375,0.525,40,-0.333333333
AR,Faulkner,Faulkner County Detention Center,AR_Faulkner,3/16/20,black,136,,0.290598291,468,
AR,Faulkner,Faulkner County Detention Center,AR_Faulkner,3/16/20,hispanic,5,,0.010683761,468,
AR,Faulkner,Faulkner County Detention Center,AR_Faulkner,3/16/20,other,2,,0.004273504,468,
AR,Faulkner,Faulkner County Detention Center,AR_Faulkner,3/16/20,white,325,,0.694444444,468,
AR,Faulkner,Faulkner County Detention Center,AR_Faulkner,4/12/20,black,68,-0.5,0.317757009,214,-0.542735043
AR,Faulkner,Faulkner County Detention Center,AR_Faulkner,4/12/20,hispanic,3,-0.4,0.014018692,214,-0.542735043
AR,Faulkner,Faulkner County Detention Center,AR_Faulkner,4/12/20,other,1,-0.5,0.004672897,214,-0.542735043
AR,Faulkner,Faulkner County Detention Center,AR_Faulkner,4/12/20,white,142,-0.563076923,0.663551402,214,-0.542735043
AR,Franklin,Franklin Co. Jail,AR_Franklin,3/16/20,black,1,,0.025641026,39,
AR,Franklin,Franklin Co. Jail,AR_Franklin,3/16/20,hispanic,0,,0,39,
AR,Franklin,Franklin Co. Jail,AR_Franklin,3/16/20,other,1,,0.025641026,39,
AR,Franklin,Franklin Co. Jail,AR_Franklin,3/16/20,white,37,,0.948717949,39,
AR,Franklin,Franklin Co. Jail,AR_Franklin,4/12/20,black,1,0,0.047619048,21,-0.461538462
AR,Franklin,Franklin Co. Jail,AR_Franklin,4/12/20,hispanic,0,,0,21,-0.461538462
AR,Franklin,Franklin Co. Jail,AR_Franklin,4/12/20,other,0,-1,0,21,-0.461538462
AR,Franklin,Franklin Co. Jail,AR_Franklin,4/12/20,white,20,-0.459459459,0.952380952,21,-0.461538462
